character,dialogue
OBI-WAN,I don't think so.
PADME,"May I take it then, that there will be no further amendments to the Constitution?"
PADME,"You are pursuing a diplomatic solution to the war, then."
PADME,"On behalf of the ""delegation of two thousand,"" I thank you, Chancellor."
ANAKIN,What do you mean?
ANAKIN,Surely Senator Amidala can be trusted . . .
ANAKIN,I'm sure you're mistaken.
ANAKIN,I simply don't sense betrayal in Senator Amidala.
ANAKIN,"Yes, Master."
YODA,To a dark place this line of thought will carry us. Hmmmmm. . . . great care we must take.
ANAKIN,"Chancellor, we have just received a report from Master Kenobi. He has engaged General Grievous."
ANAKIN,I should be there with him.
ANAKIN,I wish I knew. More and more I get the feeling that I am being excluded from the Council. I know there are things about the Force that they are not telling me.
ANAKIN,How do you know the ways of the Force?
ANAKIN,You know the dark side?!?
ANAKIN,I won't be a pawn in your political game. The Jedi are my family.
ANAKIN,What did you say?
ANAKIN,You're a Sith Lord!
ANAKIN,You're wrong!
ANAKIN,I would certainly like to.
ANAKIN,I am going to turn you over to the Jedi Council.
ANAKIN,I will quickly discover the truth of all this.
OBI-WAN,So uncivilized . . .
ANAKIN,"Master Windu, I must talk to you."
ANAKIN,He won't give up his power. I've just learned a terrible truth. I think Chancellor Palpatine is a Sith Lord.
ANAKIN,Yes. The one we have been looking for.
ANAKIN,He knows the ways of the Force. He has been trained to use the dark side.
ANAKIN,Absolutely.
ANAKIN,"Master, the Chancellor is very powerful. You will need my help if you are going to arrest him."
ANAKIN,"I must go, Master."
ANAKIN,"Yes, Master."
ANAKIN,"Yes, Master."
PADME,"I truly, deeply love you. Before I die. I want you to know."
C-3PO,"My Lady, are you. . . . Are you all right?"
ANAKIN,I can't do this ... I can't let her die.
ANAKIN,"You can't kill him, Master. He must stand trial."
ANAKIN,It is not the Jedi way . . .
ANAKIN,(continuing) He must live . . .
ANAKIN,I need him . . .
ANAKIN,What have I done?
ANAKIN,I will do whatever you ask.
ANAKIN,Just help me save Padme's life. I can't live without her. I won't let her die. I want the power to stop death.
ANAKIN,I pledge myself to your teachings. To the ways of the Sith.
ANAKIN,Thank you. my Master.
ANAKIN,I agree. The Jedi's next move will be against the Senate.
ANAKIN,"I understand, Master."
ANAKIN,What about the other Jedi spread across the galaxy?
OBI-WAN,"Commander, contact your troops. Tell them to move to the higher levels."
OBI-WAN,"Thank you, Cody, (smiling) Now let's get a move on. We've got a battle to win here."
C-3PO,"The Chancellor's office indicated Master Anakin returned to the Jedi Temple. Don't worry, My Lady. I am sure he will be all right."
YODA,"Stink, this mud does. A moment to bathe, give me."
YODA,"(continuing) Not far, are we, from the emergency ship. Quickly . . ."
YODA,"Good-bye. Chewbacca and Tarfful, miss you I will. Good friends you are. For your help, much gratitude and respect, I have."
OBI-WAN,Emergency Code Nine Thirteen ... I have no contact on any frequency. Are there any Jedi out there? . . . anywhere . . .
OBI-WAN,(continuing) I've locked on. Repeat.
OBI-WAN,Senator Organa! My Clone Troops turned on me ... I need help.
C-3PO,"My Lady, there's a Jedi fighter docking on the veranda."
THREEPIO,Hush! Not so loud!
PADME,Are you all right? I heard there was an attack on the Jedi Temple . . . you can see the smoke from here.
ANAKIN,I'm fine. I'm fine. I came to see if you and the baby are safe.
PADME,"Captain Typho's here, we're safe. What's happening?"
C-3PO,What is going on?
C-3PO,(continuing) You can't be anymore confused than I am.
ANAKIN,The situation is not good. The Jedi have tried to overthrow the Republic . . .
PADME,I can't believe that!
ANAKIN,"I couldn't either at first, but it's true. I saw Master Windu attempt to assassinate the Chancellor myself."
C-3PO,Something important is going on! I heard a rumor they are going to banish all droids.
C-3PO,(continuing) Shhhhhh . . . not so loud.
C-3PO,"(continuing) Whatever it is, we'll be the last to know."
PADME,"Anakin, what are you going to do?"
ANAKIN,I will not betray the Republic . . . my loyalties lie with the Chancellor and with the Senate . . . and with you.
PADME,What about Obi-Wan?
ANAKIN,I don't know . . . Many Jedi have been killed. We can only hope that he's remained loyal to the Chancellor.
PADME,How could this have happened?
ANAKIN,"The Republic is unstable, Padme. The Jedi aren't the only ones trying to take advantage of the situation. There are also traitors in the Senate."
PADME,What are you saying?
ANAKIN,You need to distance yourself from your friends in the Senate. The Chancellor said they will be dealt with when this conflict is over.
PADME,What if they start an inquisition? I've opposed this war. What will you do if I become a suspect?
ANAKIN,That won't happen. I won't let it.
PADME,"Oh, Anakin, I'm afraid."
ANAKIN,"Have faith, my love. Everything will soon be set right. The Chancellor has given me a very important mission. The Separatists have gathered in the Mustafar system. I'm going there to end this war. Wait for me until I return . . . things will be different, I promise."
ANAKIN,"(continuing) Please, wait for me."
PADME,I will.
C-3PO,"(to Artoo) Well, he is under a lot of stress, Artoo."
C-3PO,"(continuing) Take care, my little friend."
C-3PO,"(continuing) My Lady, is there anything I might do?"
PADME,"No thank you, Threepio."
PADME,No.
C-3PO,I feel so helpless.
YODA,"Master Kenobi, dark times are these. Good to see you. it is."
OBI-WAN,"You were attacked by your Clones, also?"
YODA,"With the help of the Wookiees, barely escape, I did."
OBI-WAN,How many other Jedi managed to survive?
YODA,"Heard from no one, have we."
OBI-WAN,Have we had any contact from the Temple?
YODA,"Received a coded retreat message, we have."
OBI-WAN,"Well, then we must go back! If there are other stragglers, they will fall into the trap and be killed."
YODA,"Suggest dismantling the coded signal, do you?"
OBI-WAN,"Yes, Master. There is too much at stake here, and we need a clearer picture of what has happened."
YODA,I agree. In a dark place we find ourselves ... a little more knowledge might light our way.
OBI-WAN,"No, I don't think so. The Chancellor will not be able to control the thousands of star systems without keeping the Senate intact."
YODA,"If a special session of Congress there is, easier for us to enter the Jedi Temple it will be."
OBI-WAN,It would be better if we stayed with the Senator.
ANAKIN,Artoo . . . stay with the ship.
OBI-WAN,There are several battalions of Clone Troopers on every level. Many are dressed as Jedi.
YODA,"Dismantle the coded signal quickly. That group back there, soon discovered will be."
PADME,"The Chancellor has been elaborating on a plot by the Jedi, to overthrow the Senate."
PADME,He's been presenting evidence all afternoon.
OBI-WAN,Not even the younglings survived.
YODA,"Killed not by clones, this Padawan. By a lightsaber, he was."
OBI-WAN,. . .Who?? Who could have done this?
PADME,"Well, this is the moment we discover if he intends to return the Republic to a democracy."
PADME,"So this is how liberty dies, with thunderous applause . . ."
PADME,Not now! There will be a time.
OBI-WAN,I've recalibrated the code warning all surviving Jedi to stay away.
YODA,"Good . . . For the Clones to discover the recalibration, a long time it will take. To change it back, longer still. Hurry."
OBI-WAN,"Wait, Master. There is something I must know . . ."
YODA,"If into the security recordings you go, only pain will you find."
OBI-WAN,"I must know the truth, Master."
OBI-WAN,(continuing) It can't be . . . It can't be . . .
ANAKIN,"The traitors have been taken care of, Lord Sidious."
ANAKIN,"Yes, My Master."
OBI-WAN,I can't watch any more.
YODA,"Destroy the Sith, we must."
OBI-WAN,Send me to kill the Emperor. I will not kill Anakin.
YODA,"To fight this Lord Sidious, strong enough, you are not."
OBI-WAN,He is like my brother ... I cannot do it.
YODA,"Twisted by the dark side, young Skywalker has become. The boy you trained, gone he is . . . Consumed by Darth Vader."
OBI-WAN,How could it have come to this?
YODA,"To question, no time there is."
OBI-WAN,I do not know where the Emperor has sent him. I don't know where to look.
YODA,"Use your feelings, Obi-Wan, and find him, you will. Visit the new Emperor, my task is. May the Force be with you."
OBI-WAN,"May the Force be with you, Master Yoda."
C-3PO,"Hello, might I help you . . . Oh, it's you, Master Kenobi. Come in, quickly."
OBI-WAN,Has Anakin been here . . . ?
C-3PO,Yes . . . right after the attack on the Jedi Temple.
PADME,Master Kenobi . . .
PADME,"(continuing) Oh, Obi-Wan, thank goodness . . . you're alive."
OBI-WAN,The Republic has fallen. Padme . . . The Jedi Order is no more . . .
PADME,"I know, it's hard to believe everything to which we've dedicated our lives is gone."
OBI-WAN,I believe we have been part of a plot hundreds of years in the making.
PADME,"The Senate is still intact, there is some hope."
OBI-WAN,No. Padme . . . It's over . . . The Sith now rule the galaxy as they did before the Republic.
PADME,The Sith!?!
OBI-WAN,I'm here looking for Anakin . . . When was the last time you saw him?
PADME,Yesterday.
OBI-WAN,And do you know where he is now?
PADME,(looks down) No.
OBI-WAN,"Padme, I need your help. He's in grave danger."
PADME,From the Sith?
OBI-WAN,"From himself . . . Padme, Anakin has turned to the dark side."
PADME,You're wrong! How could you even say that?
OBI-WAN,I have seen a security hologram of him killing younglings.
PADME,Not Anakin! He couldn't!
OBI-WAN,"He was deceived by a lie. We all were. It appears that the Chancellor is behind everything, including the war. Palpatine is the Sith Lord we've been looking for. After the death of Count Dooku, Anakin became his new apprentice."
PADME,I don't believe you ... I can't.
OBI-WAN,"Padme, I must find him."
PADME,"You're going to kill him, aren't you?"
OBI-WAN,He has become a very great threat.
PADME,I can't . . .
OBI-WAN,"Anakin is the father, isn't he?"
OBI-WAN,(continuing) I'm so sorry.
PADME,"There is no danger. The fighting is over, and . . . this is personal."
PADME,"I'll be all right, Captain."
PADME,"(continuing) This is something I must do myself. Besides, Threepio will look after me."
C-3PO,"Oh, dear."
C-3PO,Green light. Do you know that I think I'm beginning to get the hang of this flying business.
ANAKIN,"Padme, I saw your ship . . ."
PADME,"Oh, Anakin!"
ANAKIN,"It's all right, you're safe now. What are you doing out here?"
PADME,I was so worried about you. Obi-Wan told me terrible things.
ANAKIN,What things?
PADME,He said you have turned to the dark side . . . that you killed younglings.
ANAKIN,Obi-Wan is trying to turn you against me.
PADME,He cares about us.
ANAKIN,Us??!
PADME,He knows . . . He wants to help you.
ANAKIN,Is Obi-Wan going to protect you? He can't ... he can't help you. He's not strong enough.
PADME,"Anakin, all I want is your love."
ANAKIN,"Love won't save you, Padme. Only my new powers can do that."
PADME,At what cost? You are a good person. Don't do this.
ANAKIN,I won't lose you the way I lost my mother! I've become more powerful than any Jedi has ever dreamed of and I've done it for you. To protect you.
PADME,Come away with me. Help me raise our child. Leave everything else behind while we still can.
ANAKIN,"Don't you see, we don't have to run away anymore. I have brought peace to the Republic. I am more powerful than the Chancellor. I can overthrow him, and together you and I can rule the galaxy. Make things the way we want them to be."
PADME,I don't believe what I'm hearing . . . Obi-Wan was right. You've changed.
ANAKIN,I don't want to hear any more about Obi-Wan. The Jedi turned against me. Don't you turn against me.
PADME,"I don't know you anymore. Anakin, you're breaking my heart. I'll never stop loving you, but you are going down a path I"
ANAKIN,Because of Obi-Wan?
PADME,"Because of what you've done . . . what you plan to do. Stop, stop now. Come back! I love you."
ANAKIN,(seeing Obi-Wan) Liar!
PADME,No!
ANAKIN,You're with him. You've betrayed me! You brought him here to kill me!
PADME,NO! Anakin. I swear ... I ...
OBI-WAN,"Let her go, Anakin."
ANAKIN,What have you and she been up to?
OBI-WAN,Let her go!
ANAKIN,You turned her against me.
OBI-WAN,You have done that yourself.
ANAKIN,You will not take her from me.
OBI-WAN,Your anger and your lust for power have already done that.
OBI-WAN,(continuing) You have allowed this Dark Lord to twist your mind until now . . . until now you have become the very thing you swore to destroy.
ANAKIN,"Don't lecture me, Obi-Wan. I see through the lies of the Jedi. I do not fear the dark side as you do. I have brought peace, justice, freedom, and security to my new Empire."
OBI-WAN,Your new Empire?
ANAKIN,Don't make me kill you.
OBI-WAN,"Anakin, my allegiance is to the Republic ... to democracy."
ANAKIN,"If you're not with me, you're my enemy."
OBI-WAN,Only a Sith Lord deals in absolutes. I will do what I must.
ANAKIN,You will try.
YODA,"I hear a new apprentice, you have. Emperor, or should I call you Darth Sidious."
YODA,Surprised?
C-3PO,What are you doing? You're going to hurt her. Wait!!
YODA,"Not if anything I have to say about it, Lord Sidious."
YODA,"(continuing) At an end your rule is and not short enough it was, I must say."
YODA,"(continuing) If so powerful you are, why leave??"
YODA,"Faith in your new apprentice, misplaced may be, as is your faith in the dark side of the Force."
ANAKIN,"Don't make me destroy you, Master. You're no match for the dark side."
OBI-WAN,"I've heard that before, Anakin . . . but I never thought I'd hear it from you."
OBI-WAN,(continuing) The flaw of power is arrogance.
ANAKIN,You hesitate . . . the flaw of compassion.
YODA,"Destroy you I will, just as Master Kenobi, your apprentice will destroy."
YODA,Hurry. Careful timing we will need.
YODA,"Into exile I must go. Failed, I have."
C-3PO,"I am being careful. I've got a good hold on her, but . . . I'm worried about my back. I hope it's able to hold up under this weight."
OBI-WAN,"I have failed you, Anakin. I was never able to teach you to think."
ANAKIN,I should have known the Jedi were plotting to take over . . .
OBI-WAN,"From the Sith!!! Anakin, Chancellor Palpatine is evil."
ANAKIN,"From the Jedi point of view! From my point of view, the Jedi are evil."
OBI-WAN,"Well, then you are lost!"
ANAKIN,"This is the end for you, My Master. I wish it were otherwise."
OBI-WAN,"It's over, Anakin. I have the high ground."
ANAKIN,You underestimate my power!
OBI-WAN,Don't try it.
OBI-WAN,"(continuing) . . . You were the Chosen One! It was said that you would, destroy the Sith, not join them. It was you who would bring balance to the Force, not leave it in Darkness."
ANAKIN,I hate you!
OBI-WAN,"You were my brother, Anakin. I loved you."
C-3PO,"Master Kenobi! We have Miss Padme on board. Please, please hurry. We should leave this dreadful place."
PADME,Obi-Wan? Is Anakin all right?
YODA,"Failed to stop the Sith Lord, I have. Still much to learn, there is ..."
YODA,Eternal consciousness.
YODA,". . . to become one with the Force, and influence still have . . . A power greater than all, it is."
YODA,"A great Jedi Master, you have become, Qui-Gon Jinn. Your apprentice I gratefully become."
OBI-WAN,She's dying?
YODA,"Save them, we must. They are our last hope."
C-3PO,"It s some kind of reproductive process, I think."
OBI-WAN,"Don't give up, Padme."
PADME,Luke . . .
PADME,. . . Leia.
OBI-WAN,"You have twins, Padme They need you . . . hang on."
PADME,I can't . . .
OBI-WAN,Save your energy.
PADME,Obi-Wan . . . there . . . is good in him. I know there is ... still . . .
YODA,"Pregnant, she must still appear. Hidden, safe, the children must be kept."
OBI-WAN,We must take them somewhere the Sith will not sense their presence.
YODA,"Split up, they should be."
OBI-WAN,And what of the boy?
YODA,"To Tatooine. To his family, send him."
OBI-WAN,"I will take the child and watch over him. Master Yoda, do you think Anakin's twins will be able to defeat Darth Sidious?"
YODA,"Strong the Force runs, in the Skywalker line. Hope, we can . . . Done, it is. Until the time is right, disappear we will."
YODA,"(continuing) Master Kenobi, wait a moment. In your solitude on Tatooine, training I have for you."
OBI-WAN,Training??
YODA,An old friend has learned the path to immortality.
OBI-WAN,Who?
YODA,"One who has returned from the netherworld of the Force to train me . . . your old Master, Qui-Gon Jinn."
OBI-WAN,"Qui-Gon? But, how could he accomplish this?"
YODA,"The secret of the Ancient Order of the Whills, he studied. How to commune with him. I will teach you."
OBI-WAN,I will be able to talk with him?
YODA,"How to join the Force, he will train you. Your consciousness you will retain, when one with the Force. Even your physical self, perhaps."
C-3PO,"Oh, no."
